V1	V4	V5	V7	gene_name	gene_id
1	65419	71585	+	OR4F5	ENSG00000186092.6
1	450703	451697	-	OR4F29	ENSG00000284733.1
1	685679	686673	-	OR4F16	ENSG00000284662.1
1	923928	944581	+	SAMD11	ENSG00000187634.12
1	944203	959309	-	NOC2L	ENSG00000188976.11
1	960584	965719	+	KLHL17	ENSG00000187961.14
1	966482	975865	+	PLEKHN1	ENSG00000187583.11
1	975204	982093	-	PERM1	ENSG00000187642.9
1	998962	1000172	-	HES4	ENSG00000188290.11
1	1001138	1014540	+	ISG15	ENSG00000187608.10
1	1020120	1056118	+	AGRN	ENSG00000188157.15
1	1070967	1074306	-	RNF223	ENSG00000237330.3
1	1081818	1116361	-	C1orf159	ENSG00000131591.18
1	1173880	1197936	+	TTLL10	ENSG00000162571.14
1	1203508	1206592	-	TNFRSF18	ENSG00000186891.14
1	1211340	1214153	-	TNFRSF4	ENSG00000186827.11
1	1216909	1232067	-	SDF4	ENSG00000078808.19
1	1232237	1235041	+	B3GALT6	ENSG00000176022.7
1	1242446	1246722	-	C1QTNF12	ENSG00000184163.3
1	1253909	1273864	-	UBE2J2	ENSG00000160087.21
1	1280436	1292029	+	SCNN1D	ENSG00000162572.21
1	1292390	1309609	-	ACAP3	ENSG00000131584.19
1	1308597	1311677	+	PUSL1	ENSG00000169972.12
1	1311585	1324687	-	INTS11	ENSG00000127054.21
1	1324756	1328896	+	CPTP	ENSG00000224051.7
1	1331280	1335314	+	TAS1R3	ENSG00000169962.5
1	1335276	1349418	-	DVL1	ENSG00000107404.20
1	1352689	1361777	-	MXRA8	ENSG00000162576.17
1	1373730	1375495	-	AURKAIP1	ENSG00000175756.13
1	1385711	1399335	-	CCNL2	ENSG00000221978.12
1	1401909	1407293	-	MRPL20	ENSG00000242485.6
1	1418420	1421769	-	ANKRD65	ENSG00000235098.8
1	1426128	1427787	+	TMEM88B	ENSG00000205116.3
1	1434861	1442882	+	VWA1	ENSG00000179403.12
1	1449689	1470163	+	ATAD3C	ENSG00000215915.10
1	1471765	1497848	+	ATAD3B	ENSG00000160072.20
1	1512162	1534685	+	ATAD3A	ENSG00000197785.14
1	1534778	1540624	-	TMEM240	ENSG00000205090.9
1	1541673	1574863	-	SSU72	ENSG00000160075.12
1	1598012	1600135	-	FNDC10	ENSG00000228594.4
1	1615415	1630610	+	MIB2	ENSG00000197530.12
1	1632163	1635263	+	MMP23B	ENSG00000189409.14
1	1635225	1659012	-	CDK11B	ENSG00000248333.9
1	1659529	1692795	-	SLC35E2B	ENSG00000189339.12
1	1702379	1724357	-	CDK11A	ENSG00000008128.23
1	1751232	1780457	-	NADK	ENSG00000008130.15
1	1785285	1891117	-	GNB1	ENSG00000078369.18
1	1915108	1917296	+	CALML6	ENSG00000169885.10
1	1917590	1919279	-	TMEM52	ENSG00000178821.13
1	1921951	2003837	-	CFAP74	ENSG00000142609.18
1	2019329	2030758	+	GABRD	ENSG00000187730.9
1	2050411	2185395	+	PRKCZ	ENSG00000067606.17
1	2184461	2212720	-	FAAP20	ENSG00000162585.17
